topic,bear_store_centroid,bear_store_overlap,bear_retr_centroid,bear_retr_overlap,bear_store_size,naive_store_centroid,naive_store_overlap,naive_retr_centroid,naive_retr_overlap,naive_store_size,shared-store_store_centroid,shared-store_store_overlap,shared-store_retr_centroid,shared-store_retr_overlap,shared-store_store_size,shared-full_store_centroid,shared-full_store_overlap,shared-full_retr_centroid,shared-full_retr_overlap,shared-full_store_size,shared-context_store_centroid,shared-context_store_overlap,shared-context_retr_centroid,shared-context_retr_overlap,shared-context_store_size
dmg,0.0779,0.0675,0.1253,0.0167,10.8333,0.0088,0.8517,0.0476,0.5167,19.5000,0.0000,1.0000,0.0000,1.0000,5.0000,0.0000,1.0000,0.0441,0.6500,29.0000,0.0000,1.0000,0.0000,1.0000,29.0000
stroke,0.0666,0.0308,0.1406,0.0667,13.0000,0.0076,0.8146,0.0478,0.5083,20.5000,0.0000,1.0000,0.0000,1.0000,3.0000,0.0000,1.0000,0.0256,0.8000,30.0000,0.0000,1.0000,0.0000,1.0000,30.0000
ms,0.0826,0.1494,0.1509,0.0500,10.1667,0.0061,0.8919,0.0451,0.6750,21.3333,0.0000,1.0000,0.0000,1.0000,2.0000,0.0000,1.0000,0.0179,0.8500,29.0000,0.0000,1.0000,0.0000,1.0000,29.0000
alzheimers,0.0800,0.0601,0.1294,0.0167,9.5000,0.0073,0.7985,0.0418,0.6333,21.3333,0.0000,1.0000,0.0000,1.0000,4.0000,0.0000,1.0000,0.0478,0.5667,33.0000,0.0000,1.0000,0.0000,1.0000,33.0000
epilepsy,0.0727,0.0701,0.1471,0.0167,10.0000,0.0076,0.8240,0.0393,0.5000,21.3333,0.0000,1.0000,0.0000,1.0000,2.0000,0.0000,1.0000,0.0443,0.5000,30.0000,0.0000,1.0000,0.0000,1.0000,30.0000
glp1,0.0861,0.0740,0.1148,0.0167,6.6667,0.0104,0.7651,0.0517,0.4500,20.5000,0.0000,1.0000,0.0000,1.0000,3.0000,0.0000,1.0000,0.0360,0.5833,33.0000,0.0000,1.0000,0.0000,1.0000,33.0000
crispr,0.1038,0.0277,0.1763,0.0000,10.8333,0.0094,0.7732,0.0493,0.4167,20.8333,0.0000,1.0000,0.0000,1.0000,3.0000,0.0000,1.0000,0.0664,0.4500,31.0000,0.0000,1.0000,0.0000,1.0000,31.0000
llm-cds,0.0662,0.0233,0.1127,0.0333,12.0000,0.0065,0.7974,0.0444,0.4833,21.5000,0.0000,1.0000,0.0207,0.8500,5.0000,0.0000,1.0000,0.0437,0.5333,30.0000,0.0000,1.0000,0.0000,1.0000,30.0000
