topic,bear_centroid,bear_nn_overlap,bear_items_per_hat,naive_centroid,naive_nn_overlap,naive_items_per_hat
dmg,0.0779,0.0675,10.8333,0.0088,0.8517,19.5000
stroke,0.0666,0.0308,13.0000,0.0076,0.8146,20.5000
ms,0.0826,0.1494,10.1667,0.0061,0.8919,21.3333
alzheimers,0.0800,0.0601,9.5000,0.0073,0.7985,21.3333
epilepsy,0.0727,0.0701,10.0000,0.0076,0.8240,21.3333
glp1,0.0861,0.0740,6.6667,0.0104,0.7651,20.5000
crispr,0.1038,0.0277,10.8333,0.0094,0.7732,20.8333
llm-cds,0.0662,0.0233,12.0000,0.0065,0.7974,21.5000
