topic,bear_store_centroid,bear_store_overlap,bear_retr_centroid,bear_retr_overlap,bear_store_size,naive_store_centroid,naive_store_overlap,naive_retr_centroid,naive_retr_overlap,naive_store_size,shared-store_store_centroid,shared-store_store_overlap,shared-store_retr_centroid,shared-store_retr_overlap,shared-store_store_size,shared-full_store_centroid,shared-full_store_overlap,shared-full_retr_centroid,shared-full_retr_overlap,shared-full_store_size,shared-context_store_centroid,shared-context_store_overlap,shared-context_retr_centroid,shared-context_retr_overlap,shared-context_store_size
dmg,0.0792,0.0522,0.1335,0.0000,39.1667,0.0163,0.7496,0.0476,0.5167,47.8333,0.0000,1.0000,0.0305,0.8500,8.0000,0.0000,1.0000,0.0441,0.6500,199.0000,0.0000,1.0000,0.0000,1.0000,199.0000
stroke,0.0783,0.0232,0.1488,0.0333,33.1667,0.0239,0.6920,0.0497,0.5083,40.6667,0.0000,1.0000,0.0000,1.0000,7.0000,0.0000,1.0000,0.0289,0.7333,151.0000,0.0000,1.0000,0.0000,1.0000,151.0000
ms,0.0703,0.1477,0.1405,0.0500,30.3333,0.0129,0.7860,0.0451,0.6750,41.5000,0.0000,1.0000,0.0119,0.9167,5.0000,0.0000,1.0000,0.0179,0.8500,150.0000,0.0000,1.0000,0.0000,1.0000,150.0000
alzheimers,0.0831,0.0543,0.1310,0.0000,32.0000,0.0211,0.6807,0.0467,0.5833,43.6667,0.0000,1.0000,0.0000,1.0000,11.0000,0.0000,1.0000,0.0507,0.5500,167.0000,0.0000,1.0000,0.0000,1.0000,167.0000
epilepsy,0.0761,0.0629,0.1669,0.0000,28.0000,0.0214,0.7269,0.0393,0.5000,39.3333,-0.0000,1.0000,0.0110,0.9167,7.0000,0.0000,1.0000,0.0443,0.5000,138.0000,0.0000,1.0000,0.0000,1.0000,138.0000
glp1,0.0880,0.0706,0.1378,0.0167,29.0000,0.0260,0.6496,0.0517,0.4500,42.8333,0.0000,1.0000,0.0529,0.6667,8.0000,0.0000,1.0000,0.0360,0.5833,167.0000,0.0000,1.0000,0.0000,1.0000,167.0000
crispr,0.0947,0.0171,0.1648,0.0000,34.5000,0.0220,0.6710,0.0528,0.4000,44.5000,0.0000,1.0000,0.0141,0.9167,11.0000,-0.0000,1.0000,0.0715,0.3750,173.0000,-0.0000,1.0000,-0.0000,1.0000,173.0000
llm-cds,0.0722,0.0140,0.1189,0.0167,34.1667,0.0217,0.6902,0.0444,0.4833,44.1667,0.0000,1.0000,0.0311,0.8167,9.0000,0.0000,1.0000,0.0437,0.5333,166.0000,0.0000,1.0000,0.0000,1.0000,166.0000
